resenaId,productoId,usuarioId,calificacion,titulo,comentario,fecha,verificado,
r001,p4001,u101,5,Excelente tarjeta,Muy silenciosa y con gran rendimiento. El precio es alto pero lo vale.,2025-10-12T12:00:00Z,true,
r002,p4002,u102,4,Muy buena, but...,"Es potente, pero se calienta un poco m�s de lo que esperaba.",2025-10-13T10:30:00Z,true
r003,p4011,u103,5,Una bestia,"El mejor procesador que he tenido, compila todo en segundos.",2025-10-13T11:00:00Z,true,
r004,p4038,u104,5,Velocidad incre�ble,Mi PC ahora enciende en 3 segundos. 100% recomendado.,2025-10-14T09:15:00Z,true,
r005,p4015,u105,5,El rey del gaming,No hay nada mejor para juegos. El 3D V-Cache hace magia.,2025-10-14T14:20:00Z,true,
r006,p4060,u106,4,Bonito pero dif�cil,"El chasis es precioso, pero organizar los cables fue un dolor de cabeza.",2025-10-15T16:00:00Z,true,
r007,p4001,u107,5,Potencia desmedida,Puedo correr todo en 4K a 144Hz sin problemas. Brutal.,2025-10-15T17:00:00Z,true,
r008,p4094,u108,5,El mouse definitivo,S�per ligero y la bater�a dura semanas. Incre�ble.,2025-10-16T10:00:00Z,false,
r009,p4012,u109,4,Buen rendimiento,"Muy buen procesador para productividad, aunque el 14900K es tentador.",2025-10-16T11:30:00Z,true,
r010,p4021,u110,5,Board muy completa,"Tiene todo lo que necesitas, WiFi 7 y muchos puertos M.2.",2025-10-17T08:00:00Z,true,
r011,p4003,u101,4,Buena GPU calidad-precio,"Para 1440p es perfecta, no hace falta gastar m�s.",2025-10-17T09:45:00Z,true,
r012,p4005,u102,5,AMD lo hizo bien,Muy sorprendido con el rendimiento en Ray Tracing de esta AMD.,2025-10-18T14:00:00Z,true,
r013,p4039,u111,5,Vuela,De los SSD m�s r�pidos del mercado. Se nota la diferencia.,2025-10-18T15:10:00Z,true,
r014,p4015,u112,5,Excelente para gaming,Actualic� desde un Ryzen 5 y la diferencia es abismal en juegos.,2025-10-19T10:20:00Z,true,
r015,p4074,u113,5,El mejor disipador por aire,Silencioso y mantiene mi 14700K a raya. No necesito l�quida.,2025-10-19T11:00:00Z,true,
r016,p4063,u114,5,El chasis m�s bonito,El dise�o con madera es espectacular. Muy elegante.,2025-10-20T13:00:00Z,true,
r017,p4090,u115,4,Muy bueno, pero caro,"El teclado es incre�ble, pero el precio es dif�cil de justificar.",2025-10-20T14:30:00Z,false
r018,p4053,u116,5,Fuente confiable,Silenciosa y con 10 a�os de garant�a. No se puede pedir m�s.,2025-10-21T09:00:00Z,true,
r019,p4081,u117,5,OLED es otro nivel,Los colores y el contraste son de otro mundo. El mejor monitor que he tenido.,2025-10-21T10:15:00Z,true,
r020,p4031,u118,5,RAM r�pida y con RGB,Funcionaron perfecto con el perfil XMP a 6000MHz. El RGB se ve genial.,2025-10-22T11:00:00Z,true,
r021,p4007,u119,3,Esperaba m�s,"Para ser una Strix, el rendimiento es solo un poco mejor que la versi�n normal.",2025-10-22T14:20:00Z,true,
r022,p4013,u120,5,Perfecto para empezar,Un i5 que rinde como un i7 de antes. Muy contento.,2025-10-23T10:00:00Z,true,
r023,p4040,u101,5,Buen SSD,Lo uso para juegos y cargan al instante.,2025-10-23T11:00:00Z,true,
r024,p4070,u102,5,La pantalla es genial,Mantiene el CPU fr�o y poder ver la temperatura en la pantalla es un plus.,2025-10-24T12:00:00Z,true,
r025,p4099,u103,4,Audio incre�ble, micr�fono meh,"Se escuchan espectacular, pero mis amigos dicen que el micro no es el mejor.",2025-10-24T13:30:00Z,false
r026,p4006,u104,4,Buena alternativa a NVIDIA,"Precio-rendimiento muy bueno, aunque los drivers tardaron en madurar.",2025-10-25T09:00:00Z,true,
r027,p4015,u105,5,�Vale cada peso!,"Si solo juegas, esta CPU es la respuesta. Impresionante.",2025-10-25T10:10:00Z,true,
r028,p4027,u106,4,Buena board B650,"Buena, bonita y barata (para lo que ofrece). Los VRM son s�lidos.",2025-10-26T11:00:00Z,true,
r029,p4050,u107,5,El futuro son los cables laterales,La conexi�n lateral de esta fuente facilita mucho el armado.,2025-10-26T14:00:00Z,true,
r030,p4083,u108,5,240Hz en OLED es una locura,La fluidez y los colores son perfectos. El monitor definitivo para shooters.,2025-10-27T15:00:00Z,true,
r031,p4001,u109,5,Gr�fica para a�os,Espero no tener que cambiar de GPU en 5 a�os. Un monstruo.,2025-10-27T16:30:00Z,true,
r032,p4011,u110,4,Se calienta mucho,"Rendimiento top, pero necesitas la mejor refrigeraci�n. Gasta mucha energ�a.",2025-10-28T10:00:00Z,true,
r033,p4038,u111,5,El mejor M.2 Gen4,Samsung nunca decepciona. Velocidades de lectura y escritura reales.,2025-10-28T11:15:00Z,true,
r034,p4061,u112,5,Chasis blanco precioso,Queda perfecto en un setup blanco. Muy espacioso.,2025-10-29T13:00:00Z,true,
r035,p4095,u113,5,Mejor que el Superlight,La forma ergon�mica es mucho m�s c�moda para mi mano.,2025-10-29T14:45:00Z,false,
r036,p4002,u114,5,Potencia de sobra,La 4080 Super es el punto dulce. La 4090 es demasiado cara.,2025-10-30T10:00:00Z,true,
r037,p4014,u115,5,Lo mejor para productividad y gaming,"Si trabajas y juegas, este es el procesador. El X3D se nota.",2025-10-30T11:00:00Z,true,
r038,p4032,u116,4,Lindas, pero dif�ciles de configurar,Me cost� hacer que el RGB sincronizara con mi board ASUS.,2025-10-31T12:00:00Z,true
r039,p4051,u117,5,Seasonic es calidad,"Fuente Platinum, 12 a�os de garant�a. No hay m�s que decir.",2025-10-31T14:00:00Z,true,
r040,p4071,u118,4,Enfr�a bien y es bonita,Mantiene mi Ryzen 9 fresco. Las luces de los ventiladores son top.,2025-11-01T09:30:00Z,true,
r041,p4004,u119,5,AORUS es calidad,El dise�o es incre�ble y el peque�o LCD es muy �til.,2025-11-01T10:00:00Z,true,
r042,p4015,u120,5,No se calienta nada,"Pens� que se calentar�a m�s, pero con un disipador de aire decente va sobrado.",2025-11-02T11:00:00Z,true,
r043,p4043,u101,5,4TB de velocidad,Perfecto para mi librer�a de Steam. Todo carga instant�neo.,2025-11-02T13:00:00Z,true,
r044,p4080,u102,5,Inmersi�n total,Este monitor es una locura. Es como tener dos monitores 1440p sin el marco.,2025-11-03T14:00:00Z,true,
r045,p4092,u103,5,El mejor teclado 75%,La calidad de construcci�n es de otro nivel. El sonido al teclear es perfecto.,2025-11-03T15:30:00Z,false,
r046,p4008,u104,4,La sorpresa de AMD,Rendimiento de 7900 XT a menor precio. Muy buena jugada de AMD.,2025-11-04T10:00:00Z,true,
r047,p4022,u105,4,Buena board Z790,"No es la m�s cara, pero tiene VRMs robustos para un 14900K.",2025-11-04T11:20:00Z,true,
r048,p4038,u106,5,SSD rapid�simo,No m�s pantallas de carga.,2025-11-05T09:00:00Z,true,
r049,p4056,u107,5,Fuente suficiente,850W sobran para mi 4070 Super y mi Ryzen 7. Muy silenciosa.,2025-11-05T10:00:00Z,true,
r050,p4075,u108,5,Calidad-precio en aire,El mejor disipador de aire por este precio. La pantalla digital es un plus.,2025-11-05T11:00:00Z,true,
r051,p4011,u109,3,Decepci�n,Consume demasiado y se calienta. Preferir�a el 7950X3D.,2025-11-05T14:00:00Z,true,
r052,p4001,u110,5,Una locura,Simplemente la mejor GPU del mundo.,2025-11-05T15:00:00Z,true,
r053,p4015,u111,5,CPU para juegos, sin m�s,"Si tu PC es 99% para jugar, compra este.",2025-11-06T10:00:00Z,true
r054,p4094,u112,5,Ligero como una pluma,No pesa nada. La bater�a dura mucho. El mejor mouse para shooters.,2025-11-06T11:30:00Z,false,
r055,p4084,u113,4,Buen monitor 4K,Buen monitor 4K 144Hz. El KVM switch es muy �til para mi laptop.,2025-11-07T09:00:00Z,true,
r056,p4025,u114,5,Placa base robusta,La X670E Master es una bestia. Perfecta para overclock.,2025-11-07T10:30:00Z,true,
r057,p4046,u115,5,Gen5 es el futuro,Velocidades absurdas. Aseg�rate de tener un disipador M.2 bueno.,2025-11-08T11:00:00Z,true,
r058,p4065,u116,5,El chasis 'pecera',El dise�o es �nico y perfecto para mostrar tus componentes.,2025-11-08T14:00:00Z,true,
r059,p4078,u117,5,Los ventiladores m�s bonitos,El sistema de conexi�n en cadena es genial. Cero cables.,2025-11-09T10:00:00Z,true,
r060,p4100,u118,5,Audiofilia pura,"Si te importa la m�sica, estos aud�fonos son una joya.",2025-11-09T11:00:00Z,false,
r061,p4003,u119,5,La GPU inteligente,Perfecta para 1440p. DLSS 3.5 y Frame Gen son magia.,2025-11-10T12:00:00Z,true,
r062,p4013,u120,5,Rendimiento-precio,El 14600K es probablemente la compra m�s inteligente de esta generaci�n.,2025-11-10T13:00:00Z,true,
r063,p4038,u101,5,SSD Confiable,Tengo 3 de estos. Nunca fallan.,2025-11-10T14:00:00Z,true,
r064,p4059,u102,5,Potencia para ITX,Incre�ble que 750W quepan en esta fuente SFX. Perfecta para builds peque�os.,2025-11-11T10:00:00Z,true,
r065,p4082,u103,4,Buen 4K 144Hz,"Buenos colores, pero el HDR podr�a ser mejor. Aun as�, muy bueno.",2025-11-11T11:30:00Z,true,
r066,p4096,u104,5,Mouse blanco,"El mismo G Pro X 2, pero en blanco. Queda perfecto en mi setup.",2025-11-12T09:00:00Z,false,
r067,p4009,u105,5,Refrigeraci�n l�quida de f�brica,La Suprim Liquid es silenciosa y fr�a. Un lujo de tarjeta.,2025-11-12T10:00:00Z,true,
r068,p4018,u106,4,Solo para entusiastas,"Rendimiento extremo, pero consume y se calienta como un horno.",2025-11-13T11:00:00Z,true,
r069,p4034,u107,5,RAM de lujo,"Las Dominator son la gama m�s alta. Caras, pero la calidad se paga.",2025-11-13T14:00:00Z,true,
r070,p4066,u108,5,El rey del flujo de aire,El Lancool 216 tiene un flujo de aire incre�ble. Mis temps bajaron 10C.,2025-11-14T10:00:00Z,true,
r071,p4072,u109,4,Buena l�quida,Corsair iCUE es f�cil de usar. Mantiene el CPU a raya.,2025-11-14T11:00:00Z,true,
r072,p4001,u110,5,Para IA y 3D,La uso para renderizar en Blender y para modelos de IA. Los 24GB de VRAM son la clave.,2025-11-15T09:00:00Z,true,
r073,p4015,u111,5,La mejor CPU para gaming,"Repito: si es para jugar, no busques m�s. 7800X3D.",2025-11-15T10:15:00Z,true,
r074,p4039,u112,5,WD Black nunca falla,Siempre he usado WD Black y este SN850X es una bestia.,2025-11-16T11:00:00Z,true,
r075,p4098,u113,5,La mejor diadema de consola,La uso para PS5 y PC. El cambio entre fuentes es instant�neo.,2025-11-16T13:00:00Z,false,
r076,p4006,u114,4,Buena GPU 1440p,Mueve todo en 1440p sin despeinarse. Muy recomendada.,2025-11-17T14:00:00Z,true,
r077,p4012,u115,5,Multitarea sin esfuerzo,El 14700K con sus E-cores extra es perfecto para streaming y edici�n.,2025-11-17T15:00:00Z,true,
r078,p4029,u116,5,La mejor B650M,Calidad-precio incre�ble para una Micro-ATX. Muy completa.,2025-11-18T10:00:00Z,true,
r079,p4049,u117,5,SSD SATA para almacenamiento,Perfecto para almacenar juegos que no juego a diario. R�pido y barato.,2025-11-18T11:30:00Z,true,
r080,p4085,u118,4,Monitor r�pido 1440p,"240Hz en 1440p. Si eres de eSports, es una gran opci�n.",2025-11-19T09:00:00Z,true,
r081,p4002,u119,5,La 4080 que debi� ser,Esta 4080 Super s� tiene un precio m�s razonable. Rendimiento top.,2025-11-19T10:00:00Z,true,
r082,p4011,u120,4,Potencia bruta,Necesitas una fuente de 1000W m�nimo. Pero el rendimiento es innegable.,2025-11-20T11:00:00Z,true,
r083,p4038,u101,5,El est�ndar de oro,El 990 Pro es el SSD a vencer.,2025-11-20T14:00:00Z,true,
r084,p4062,u102,5,NZXT lo hace de nuevo,"Dise�o limpio, minimalista y con buen flujo de aire. Me encanta.",2025-11-21T10:00:00Z,true,
r085,p4079,u103,4,Mucho RGB, mucho cable,"Se ven espectaculares, pero prep�rate para manejar muchos cables.",2025-11-21T11:00:00Z,true
r086,p4091,u104,5,Teclado s�lido,Muy robusto. Los switches amarillos de Razer son muy r�pidos.,2025-11-22T09:00:00Z,false,
r087,p4005,u105,5,Gran GPU de AMD,24GB de VRAM por este precio es una ganga. Muy bien por AMD.,2025-11-22T10:30:00Z,true,
r088,p4015,u106,5,Impresionante en juegos,"No mienten, es la mejor CPU para jugar. Punto.",2025-11-23T11:00:00Z,true,
r089,p4037,u107,5,RAM DDR5 econ�mica,"Barata, r�pida y funciona. Sin quejas.",2025-11-23T14:00:00Z,true,
r090,p4055,u108,4,Buena fuente ATX 3.0,Lista para las nuevas GPUs con el cable 12VHPWR. Funciona bien.,2025-11-24T10:00:00Z,true,
r091,p4088,u109,5,OLED 4K 240Hz,"El santo grial de los monitores. Caro, pero es el futuro.",2025-11-24T11:00:00Z,true,
r092,p4013,u110,5,Un i5 muy capaz,"Puede con todo lo que le eches. Gaming, edici�n ligera... sobrado.",2025-11-25T09:00:00Z,true,
r093,p4039,u111,5,R�pido y confiable,WD es mi marca de confianza para almacenamiento.,2025-11-25T10:00:00Z,true,
r094,p4060,u112,5,El chasis m�s popular,Es popular por una raz�n. F�cil de armar y se ve incre�ble.,2025-11-26T11:00:00Z,true,
r095,p4094,u113,5,El mejor mouse,"He probado muchos, y siempre vuelvo al Superlight.",2025-11-26T14:00:00Z,false,
r096,p4001,u114,5,La GPU definitiva,"Si quieres lo mejor de lo mejor, es esta.",2025-11-27T10:00:00Z,true,
r097,p4011,u115,5,Para trabajo pesado,Uso mi PC para virtualizaci�n y este i9 maneja todo sin sudar.,2025-11-27T11:30:00Z,true,
r098,p4038,u116,5,SSD Top,Instal� el SO y mis programas aqu�. Todo es instant�neo.,2025-11-28T09:00:00Z,true,
r099,p4074,u117,5,Silencio y eficiencia,El Noctua NH-D15 es legendario. Enfr�a como una l�quida pero sin ruido.,2025-11-28T10:00:00Z,true,
r100,p4099,u118,4,Muy c�modos,"Los puedo usar por horas. El audio es bueno, pero la bater�a podr�a durar m�s.",2025-11-29T11:00:00Z,false,
